,DATA_VALUE,TIME
0,845.53,200401
1,867.45,200402
2,875.58,200403
3,907.14,200404
4,798.79,200405
5,771.61,200406
6,746.07,200407
7,770.31,200408
8,835.92,200409
9,849.11,200410
10,863.1,200411
11,873.06,200412
12,903.35,200501
13,964.48,200502
14,988.23,200503
15,955.41,200504
16,938.98,200505
17,991.34,200506
18,1058.71,200507
19,1101.84,200508
20,1171.02,200509
21,1190.86,200510
22,1253.26,200511
23,1338.81,200512
24,1379.32,200601
25,1341.72,200602
26,1331.72,200603
27,1415.92,200604
28,1388.83,200605
29,1249.19,200606
30,1278.0,200607
31,1316.08,200608
32,1356.53,200609
33,1354.04,200610
34,1403.93,200611
35,1418.83,200612
36,1379.25,200701
37,1434.89,200702
38,1431.62,200703
39,1517.12,200704
40,1614.94,200705
41,1754.28,200706
42,1911.56,200707
43,1815.02,200708
44,1879.03,200709
45,2004.55,200710
46,1924.84,200711
47,1903.99,200712
48,1732.29,200801
49,1689.53,200802
50,1651.15,200803
51,1776.58,200804
52,1846.75,200805
53,1758.17,200806
54,1569.6,200807
55,1537.55,200808
56,1446.56,200809
57,1201.7,200810
58,1073.95,200811
59,1114.9,200812
60,1156.37,200901
61,1139.75,200902
62,1140.45,200903
63,1322.1,200904
64,1400.5,200905
65,1395.24,200906
66,1460.03,200907
67,1577.91,200908
68,1659.45,200909
69,1630.61,200910
70,1583.47,200911
71,1646.64,200912
72,1682.16,201001
73,1598.96,201002
74,1665.5,201003
75,1730.29,201004
76,1648.3,201005
77,1691.94,201006
78,1731.12,201007
79,1762.18,201008
80,1815.75,201009
81,1889.7,201010
82,1924.71,201011
83,2002.5,201012
84,2091.61,201101
85,2002.87,201102
86,2002.67,201103
87,2153.13,201104
88,2121.87,201105
89,2074.64,201106
90,2150.06,201107
91,1869.41,201108
92,1790.95,201109
93,1825.88,201110
94,1858.8,201111
95,1863.23,201112
96,1891.01,201201
97,2003.23,201202
98,2023.41,201203
99,1995.92,201204
100,1886.35,201205
101,1848.6,201206
102,1826.75,201207
103,1918.91,201208
104,1961.29,201209
105,1942.19,201210
106,1904.7,201211
107,1973.84,201212
108,1986.1,201301
109,1979.85,201302
110,1990.24,201303
111,1938.88,201304
112,1974.45,201305
113,1884.41,201306
114,1871.77,201307
115,1896.96,201308
116,1984.39,201309
117,2029.68,201310
118,2009.92,201311
119,1988.33,201312
120,1948.22,201401
121,1937.73,201402
122,1952.43,201403
123,1991.19,201404
124,1994.13,201405
125,1995.08,201406
126,2021.95,201407
127,2060.93,201408
128,2042.71,201409
129,1942.8,201410
130,1959.65,201411
131,1941.93,201412
132,1920.99,201501
133,1961.0,201502
134,2012.62,201503
135,2107.27,201504
136,2114.9,201505
137,2063.69,201506
138,2058.03,201507
139,1952.55,201508
140,1939.58,201509
141,2020.57,201510
142,2006.78,201511
143,1971.53,201512
144,1894.65,201601
145,1900.61,201602
146,1976.5,201603
147,1996.17,201604
148,1966.68,201605
149,1977.03,201606
150,2002.48,201607
151,2036.66,201608
152,2042.56,201609
153,2036.03,201610
154,1981.75,201611
155,2021.67,201612
156,2061.73,201701
157,2082.8,201702
158,2136.17,201703
159,2160.18,201704
160,2301.89,201705
161,2372.2,201706
162,2412.9,201707
163,2372.18,201708
164,2371.84,201709
165,2482.87,201710
166,2533.51,201711
167,2467.73,201712
168,2520.94,201801
169,2439.1,201802
170,2451.57,201803
171,2458.22,201804
172,2461.3,201805
